On ^in++++=ON
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
bottleneck ^nn+++??+=bottleneck
presumably ^rb++++=presumably
represents ^vbz++++=represents
a ^at++++=a
small ^jj+atrb+++=small
population ^nn+nom+++=population
of ^in++++=of
H ^zz++++=H.
. ^zz++++=EXTRAWORD
Sapiens ^np+++??+=Sapiens,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
evolved ^vbd+++xvbn+=evolved
in ^in++++=in
Africa ^np++++=Africa,
, ^zz++++=EXTRAWORD
replacing ^vbg+++xvbg+=replacing
all ^rb++++=all
other ^ap++++=other
living ^jj+atrb++xvbg+=living
hominid ^nn+++??+=hominid
species ^nn++++=species
( ^zz++++=(Eller,
eller ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002;
; ^zz++++=EXTRAWORD
Kimmel ^np+++??+=Kimmel,
, ^zz++++=EXTRAWORD
1999 ^cd+date+++=1999).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
many ^ap++++=many
ways ^nns++++=ways,
, ^zz++++=EXTRAWORD
the ^ati++++=the
date ^nn++++=date
of ^in++++=of
this ^dt+dem+++=this
bottleneck ^nn+++??+=bottleneck
epitomizes ^vbz++++=epitomizes
the ^ati++++=the
arguments ^nns+nom+++=arguments
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
models ^nns++++=models:
: ^zz++++=EXTRAWORD
both ^abx++++=both
agree ^vb+vpub+++=agree
that ^tht+vcmp+++=that
man ^nn++++=man
arose ^vbd+++xvbn+=arose
in ^in++++=in
Africa ^np++++=Africa,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
disagree ^nn+nom+++=disagree
on ^in++++=on
the ^ati++++=the
date ^nn++++=date
of ^in++++=of
his ^pp$+pp3+++=his
diaspora ^nn++++=diaspora
and ^cc++++=and
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
his ^pp$+pp3+++=his
diaspora ^nn++++=diaspora
on ^in++++=on
population ^nn+nom+++=population
dynamics ^nn++++=dynamics
( ^zz++++=(Wall,
wall ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
theoretical ^jj++++=theoretical
reasoning ^jj+++xvbg+=reasoning
behind ^in+pl+++=behind
the ^ati++++=the
detection ^nn+nom+++=detection
of ^in++++=of
the ^ati++++=the
bottleneck ^nn+++??+=bottleneck
lies ^vbz++++=lies
in ^in++++=in
a ^at++++=a
mathematical ^nn++++=mathematical
function ^nn+nom+++=function
known ^vbd+vprv++xvbn+=known
as ^ql++++=as
a ^at++++=a
Laplace ^np+++??+=Laplace
transformation ^nn+nom+++=transformation
( ^zz++++=(Kimmel,
kimmel ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1999 ^cd+date+++=1999).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
the ^ati++++=the
actual ^jj+atrb+++=actual
workings ^nns++++=workings
of ^in++++=of
this ^dt+dem+++=this
function ^nn+nom+++=function
are ^vb+ber+vrb++=are
unimportant ^jj+pred+++=unimportant,
, ^zz++++=EXTRAWORD
Marek ^np+++??+=Marek
Kimmel ^np+++??+=Kimmel
has ^vbz+hvz+aux++=has
observed ^vprf+++xvbnx+=observed
that ^tht+vcmp+++=that
despite ^in++++=despite
the ^ati++++=the
instability ^nn+nom+++=instability
inherent ^jj++++=inherent
in ^in++++=in
the ^ati++++=the
equation ^nn+nom+++=equation
simulation ^nn+nom+++=simulation
studies ^nns++++=studies
have ^vb+hv+aux++=have
proven ^vprf+++xvbnx+=proven
that ^tht+vcmp+++=that
it ^pp3+it+++=it
can ^md+pos+++=can
effectively ^rb++splt++=effectively
predict ^vb+vpub+++=predict
population ^nn+nom+++=population
size ^nn++++=size
changes ^nns++++=changes
and ^cc++++=and,
, ^zz++++=EXTRAWORD
thus ^rb+cnj+++=thus,
, ^zz++++=EXTRAWORD
be ^vb+be+aux++=be
applied ^vpsv++agls+xvbnx+=applied
to ^to++++=to
detect ^vbi++++=detect
signs ^nns++++=signs
of ^in++++=of
a ^at++++=a
population ^nn+nom+++=population
bottleneck ^nn+++??+=bottleneck.
. ^zz++++=EXTRAWORD
Researchers ^nns+nom++??+=Researchers
have ^vb+hv+aux++=have
used ^vprf+++xvbnx+=used
several ^ap++++=several
classes ^nns++++=classes
of ^in++++=of
Dna ^np+++??+=DNA
evidence ^nn+nom+++=evidence
( ^zz++++=(Y-Chromosome
y ^zz++++=EXTRAWORD
- ^zz++++=EXTRAWORD
chromosome ^nn++++=EXTRAWORD
Dna ^np+++??+=DNA,
, ^zz++++=EXTRAWORD
mtdna ^nn+++??+=mtDNA
and ^cc++++=and
Autosomal ^np+nom++??+=Autosomal
Dna ^np+++??+=DNA)
) ^zz++++=EXTRAWORD
to ^to++++=to
investigate ^nn+nom+++=investigate
the ^ati++++=the
possibility ^nn+nom+++=possibility
of ^in++++=of
a ^at++++=a
bottleneck ^nn+++??+=bottleneck
and ^cc++++=and,
, ^zz++++=EXTRAWORD
subsequently ^rb+cnj+++=subsequently,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
attempted ^vprf+++xvbnx+=attempted
to ^to+vcmp+++=to
date ^vbi++++=date
any ^dti++++=any
observed ^jj+atrb++xvbn+=observed
bottleneck ^nn+++??+=bottleneck
event(s ^nns+++??+=event(s)
) ^zz++++=EXTRAWORD
( ^zz++++=(Jorde
jorde ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
All ^abn++++=All
attempts ^nns++++=attempts
at ^rb++++=at
dating ^vbg+++xvbg+=dating,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
utilized ^vprf+++xvbnx+=utilized
the ^ati++++=the
same ^ap++++=same
theoretical ^jj+atrb+++=theoretical
assumption ^nn+nom+++=assumption:
: ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
have ^vb+hv+vrb++=have
all ^abn++++=all
relied ^jj+++xvbn+=relied
upon ^in++++=upon
a ^at++++=a
stable ^jj+atrb+++=stable
mutation ^nn+nom+++=mutation
rate ^nn++++=rate
of ^in++++=of
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
Dna ^np+++??+=DNA,
, ^zz++++=EXTRAWORD
assuming ^vbg+vprv++xvbg+=assuming
' ^zz++++='selective
selective ^jj+atrb+++=EXTRAWORD
neutrality ^nn+nom+++=neutrality'
' ^zz++++=EXTRAWORD
of ^in++++=of
their ^pp$+pp3+++=their
Dna ^np+++??+=DNA
regions ^nns++++=regions
( ^zz++++=(Thomson
thomson ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
researchers ^nns+nom+++=researchers
are ^vb+ber+vrb++=are
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
predict ^vb+vpub+++=predict
a ^at++++=a
date ^nn++++=date
of ^in++++=of
divergence ^nn+nom+++=divergence
by ^in++++=by
effectively ^rb++++=effectively
counting ^vbg+++xvbg+=counting
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
mutations ^nns+nom+++=mutations
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
population ^nn+nom+++=population
and ^cc++++=and
comparing ^jj+++xvbg+=comparing
them ^pp3o+pp3+++=them
to ^in++++=to
the ^ati++++=the
molecular ^jj+atrb+++=molecular
clock ^nn++++=clock
of ^in++++=of
mutation ^nn+nom+++=mutation
rates ^nns++++=rates.
. ^zz++++=EXTRAWORD
To ^to++++=To
set ^vbi++++=set
their ^pp$+pp3+++=their
clocks ^nns++++=clocks,
, ^zz++++=EXTRAWORD
the ^ati++++=the
researchers ^nns+nom+++=researchers
must ^md+nec+++=must
use ^vb++++=use
Dna ^np+++??+=DNA
from ^in++++=from
the ^ati++++=the
last ^ap++++=last
known ^vprf+++xvbn+=known
ancestor ^nn++++=ancestor
of ^in++++=of
the ^ati++++=the
human ^jj++++=human,
, ^zz++++=EXTRAWORD
the ^ati++++=the
chimpanzee ^nn+nom+++=chimpanzee,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
diverged ^vprf+++xvbn+=diverged
from ^in++++=from
modern ^jj+atrb+++=modern
man ^nn++++=man
approximately ^rb+down+++=approximately
5 ^zz++++=5
million ^cd++++=million
years ^nns++++=years
ago ^rb++++=ago
( ^zz++++=(Thomson
thomson ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Again ^rb+cnj+++=Again,
, ^zz++++=EXTRAWORD
by ^in++++=by
comparing ^xvbg+++xvbg+=comparing
the ^ati++++=the
overall ^jjb+atrb+++=overall
differences ^nns+nom+++=differences
between ^in++++=between
chimpanzee ^nn+nom+++=chimpanzee
and ^cc++++=and
human ^jj+atrb+++=human
Dna ^np+++??+=DNA
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
establish ^vb+vprv+++=establish
a ^at++++=a
rate ^nn++++=rate
of ^in++++=of
mutation ^nn+nom+++=mutation
for ^in++++=for
whatever ^nn+nom+++=whatever
region ^nn++++=region
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
studying ^vbg+++xvbgx+=studying;
; ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
inherently ^rb++++=inherently
assumes ^vbz+vprv+++=assumes
that ^tht+vcmp+++=that
the ^ati++++=the
divergence ^nn+nom+++=divergence
date ^nn++++=date
from ^in++++=from
Pan ^vb++++=Pan
troglodytes ^nns+++??+=troglodytes
is ^vbz+bez+vrb++=is
correct ^jj+pred+++=correct,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
date ^nn++++=date
being ^xvbg+++xvbg+=being
based ^xvbn+++xvbn+=based
on ^in++++=on
fossil ^nn++++=fossil
evidence ^nn+nom+++=evidence
( ^zz++++=(Boyd
boyd ^np++++=EXTRAWORD
& ^zz++++=&
Silk ^nn++++=Silk,
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
recent ^jj+atrb+++=recent
studies ^nns++++=studies
using ^vwbg+++xvbg+=using
these ^dt+dem+++=these
methods ^nns++++=methods
have ^vb+hv+aux++=have
employed ^vprf+++xvbnx+=employed
Y ^zz++++=Y-chromosome
- ^zz++++=EXTRAWORD
chromosome ^nn++++=EXTRAWORD
Dna ^np+++??+=DNA,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
offer ^nn++++=offer
nearly ^rb+down+++=nearly
identical ^jj+atrb+++=identical
dates ^nns++++=dates
if ^cs+cnd+++=if
divergence ^nn+nom+++=divergence
( ^zz++++=(Thomson
thomson ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000;
; ^zz++++=EXTRAWORD
Underhill ^np+++??+=Underhill
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however
they ^pp3a+pp3+++=they
do ^vb+do+aux++=do
not ^xnot++not++=not
prove ^vb+vprv+++=prove
the ^ati++++=the
Replacement ^nn+nom+++=Replacement
model ^nn++++=model
since ^cs+sub+++=since
so ^ql++++=so
much ^ap++++=much
theory ^nn++++=theory
is ^vbz+bez+vrb++=is
still ^rb++++=still
in ^in++++=in
question ^nn+nom+++=question
( ^zz++++=(Hammer
hammer ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1998 ^cd+date+++=1998;
; ^zz++++=EXTRAWORD
Hawks ^np+++??+=Hawks
Hawks ^np+++??+=Hawks
& ^zz++++=&
Wolpoff ^np+++??+=Wolpoff,
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001;
; ^zz++++=EXTRAWORD
Templeton ^np+++??+=Templeton,
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002;
; ^zz++++=EXTRAWORD
Thomson ^np++++=Thomson
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000;
; ^zz++++=EXTRAWORD
Underhill ^np+++??+=Underhill
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000;
; ^zz++++=EXTRAWORD
Wall ^nn++++=Wall,
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
researcher ^nn+nom+++=researcher,
, ^zz++++=EXTRAWORD
Peter ^np++++=Peter
Underhill ^np+++??+=Underhill,
, ^zz++++=EXTRAWORD
analyzes ^nns+++??+=analyzes
167 ^cd++++=167
polymorphisms ^nns+nom+++=polymorphisms
on ^in++++=on
a ^at++++=a
portion ^nn+nom+++=portion
of ^in++++=of
Nry ^np+++??+=NRY
Dna ^np+++??+=DNA
( ^zz++++=(non-recombinant
non ^&fw++++=EXTRAWORD
- ^zz++++=EXTRAWORD
recombinant ^nn+nom+++=EXTRAWORD
y ^zz++++=y-chromosome
- ^zz++++=EXTRAWORD
chromosome ^nn++++=EXTRAWORD
Dna ^np+++??+=DNA)
) ^zz++++=EXTRAWORD
from ^in++++=from
1062 ^cd++++=1062
individuals ^nns+nom+++=individuals
( ^zz++++=(Underhill
underhill ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Underhill ^np+++??+=Underhill
attempts ^vb++++=attempts
to ^to+vcmp+++=to
accurately ^rb++splt++=accurately
represents ^vbi++++=represents
the ^ati++++=the
genetic ^jj+atrb+++=genetic
diversity ^nn+nom+++=diversity
of ^in++++=of
the ^ati++++=the
human ^jj+atrb+++=human
population ^nn+nom+++=population
by ^in++++=by
choosing ^xvbg+++xvbg+=choosing
an ^at++++=an
ethnically ^rb++++=ethnically
diverse ^jj+atrb+++=diverse
group ^nn++++=group
a ^at++++=a
rather ^rb++++=rather
common ^jj+atrb+++=common
practice ^nn++++=practice
in ^in++++=in
studies ^nns++++=studies
of ^in++++=of
this ^dt+dem+++=this
nature ^nn++++=nature
( ^zz++++=(Jorde
jorde ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000;
; ^zz++++=EXTRAWORD
Templeton ^np+++??+=Templeton,
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002;
; ^zz++++=EXTRAWORD
Thomson ^np++++=Thomson
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000;
; ^zz++++=EXTRAWORD
Underhill ^np+++??+=Underhill
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Underhill ^np+++??+=Underhill
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
the ^ati++++=the
largest ^jjt+atrb+++=largest
amount ^nn++++=amount
of ^in++++=of
genetic ^jj+atrb+++=genetic
diversity ^nn+nom+++=diversity
occurs ^vbz++++=occurs
in ^in++++=in
Africa ^np++++=Africa
and ^cc++++=and
detected ^vbd+++xvbn+=detected
a ^at++++=a
bottleneck ^nn+++??+=bottleneck
event ^nn++++=event
approximately ^rb+down+++=approximately
59 ^cd++++=59-kya.
- ^zz++++=EXTRAWORD
kya ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
estimate ^nn+nom+++=estimate
assumes ^vbz+vprv+++=assumes
6,900 ^cd++++=6,900
years ^nns++++=years
between ^in++++=between
new ^jj+atrb+++=new
mutations ^nns+nom+++=mutations,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
average ^nn+nom+++=average
of ^in++++=of
8.6 ^cd++++=8.6
mutations ^nns+nom+++=mutations
in ^in++++=in
any ^dti++++=any
population ^nn+nom+++=population.
. ^zz++++=EXTRAWORD
Underhill ^np+++??+=Underhill
accounts ^nns++++=accounts
for ^in++++=for
the ^ati++++=the
many ^ap++++=many
sources ^nns++++=sources
of ^in++++=of
error ^nn++++=error
with ^in++++=with
an ^at++++=an
upper ^jjb++++=upper
and ^cc+phrs+++=and
lower ^jjr++++=lower
limit ^vb++++=limit
of ^in++++=of
35 ^cd++++=35-kya
- ^zz++++=EXTRAWORD
kya ^nn+++??+=EXTRAWORD
and ^cc++++=and
89 ^cd++++=89-kya.
- ^zz++++=EXTRAWORD
kya ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
estimate ^nn+nom+++=estimate
is ^vbz+bez+vrb++=is
much ^ap++++=much
more ^rbr++++=more
recent ^jj++++=recent
than ^in++++=than
the ^ati++++=the
original ^jj++++=original
100 ^cd++++=100-kya
- ^zz++++=EXTRAWORD
kya ^nn+++??+=EXTRAWORD
( ^zz++++=(Eller,
eller ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002;
; ^zz++++=EXTRAWORD
Underhill ^np+++??+=Underhill
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
second ^od++++=second
researcher ^nn+nom+++=researcher,
, ^zz++++=EXTRAWORD
Russell ^np++++=Russell
Thomson ^np++++=Thomson,
, ^zz++++=EXTRAWORD
analyzes ^nns+++??+=analyzes
three ^cd++++=three
genes ^nns++++=genes
found ^vbd+vprv++xvbn+=found
on ^in++++=on
the ^ati++++=the
Y ^zz++++=Y-chromosome
- ^zz++++=EXTRAWORD
chromosome ^nn++++=EXTRAWORD
( ^zz++++=(SMCY,
smcy ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Dby ^np+++??+=DBY
& ^zz++++=&
Dffry ^np+++??+=DFFRY)
) ^zz++++=EXTRAWORD
( ^zz++++=(Thomson
thomson ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Combined ^j+++xvbn+=Combined
the ^ati++++=the
genes ^nns++++=genes
represent ^vb++++=represent
64,120bp ^cd++++=64,120bp,
, ^zz++++=EXTRAWORD
show ^vb+vprv+++=show
56 ^cd++++=56
unique ^jj++++=unique
( ^zz++++=(non-repeating)
non ^&fw++++=EXTRAWORD
- ^zz++++=EXTRAWORD
repeating ^vbg+vpub++xvbg+=EXTRAWORD
) ^zz++++=EXTRAWORD
polymorphisms ^nns+nom+++=polymorphisms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
have ^vb+hv+vrb++=have
an ^at++++=an
average ^nn++++=average
calculated ^vwbn+vprv++xvbn+=calculated
mutation ^nn+nom+++=mutation
rate ^nn++++=rate
of ^in++++=of
1.24e ^cd++++=1.24e-9bp
- ^zz++++=EXTRAWORD
9bp ^cd++++=EXTRAWORD
per ^in++++=per
year ^nn++++=year.
. ^zz++++=EXTRAWORD
Extrapolating ^np+++??+=Extrapolating
a ^at++++=a
phylogeny ^nn+++??+=phylogeny
from ^in++++=from
this ^dt+pdem+++=this
data ^vbz++++=data
set ^vbd+++xvbn+=set
using ^vbg+++xvbg+=using
Genetree ^np+nom++??+=GENETREE,
, ^zz++++=EXTRAWORD
Thomson ^np++++=Thomson
found ^vbd+vprv++xvbn+=found
a ^at++++=a
bottleneck ^nn+++??+=bottleneck
event ^nn++++=event
approximately ^rb+down+++=approximately
50 ^cd++++=50-kya,
- ^zz++++=EXTRAWORD
kya ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
most ^ql+emph+++=most
diverse ^jj+atrb+++=diverse
population ^nn+nom+++=population
being ^vwbg+beg++xvbg+=being
African ^jj++++=African.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
all ^abn++++=all
suggests ^vbz+vpub+++=suggests
a ^at++++=a
modern ^jj+atrb+++=modern
African ^jj+atrb+++=African
origin ^nn++++=origin,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
expansion ^nn++++=expansion
around ^in++++=around
50 ^cd++++=50-kya.
- ^zz++++=EXTRAWORD
kya ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
both ^abx++++=both
of ^in++++=of
these ^dt+dem+++=these
studies ^nns++++=studies
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
support ^vbi++++=support
the ^ati++++=the
Replacement ^nn+nom+++=Replacement
model ^nn++++=model,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
still ^rb++++=still
a ^at++++=a
considerable ^jj+atrb+++=considerable
amount ^nn++++=amount
of ^in++++=of
further ^jjb+atrb+++=further
research ^nn++++=research
needed ^vwbn+++xvbn+=needed.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
Underhill ^np+++??+=Underhill
and ^cc++++=and
Thomson ^np++++=Thomson
have ^vb+hv+aux++=have
stated ^vprf+++xvbnx+=stated
that ^tht+vcmp+++=that
the ^ati++++=the
lack ^nn++++=lack
of ^in++++=of
genetic ^jj+atrb+++=genetic
diversity ^nn+nom+++=diversity
on ^in++++=on
the ^ati++++=the
Y ^zz++++=Y-chromosome
- ^zz++++=EXTRAWORD
chromosome ^nn++++=EXTRAWORD
may ^md+pos+++=may
be ^vb+be+vrb++=be
a ^at++++=a
result ^nn++++=result
of ^in++++=of
selection ^nn+nom+++=selection
pressure ^nn++++=pressure
( ^zz++++=(Thomson
thomson ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000;
; ^zz++++=EXTRAWORD
Underhill ^np+++??+=Underhill
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000)
) ^zz++++=EXTRAWORD
and ^cc++++=and,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
invalidating ^jj+++xvbg+=invalidating
their ^pp$+pp3+++=their
mutation ^nn+nom+++=mutation
rate ^nn++++=rate
estimates ^nns+nom+++=estimates.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
Thomson ^np++++=Thomson
recognizes ^vbz+vprv+++=recognizes
that ^tht+vcmp+++=that
these ^dt+dem+++=these
date ^nn++++=date-estimates
- ^zz++++=EXTRAWORD
estimates ^nns+nom+++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
agree ^vb+vpub+++=agree
with ^in++++=with
other ^ap++++=other
genetic ^jj+atrb+++=genetic
evidence ^nn+nom+++=evidence,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
- ^zz++++=-globin
globin ^nn+++??+=EXTRAWORD
loci ^nn+++??+=loci,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
place ^nn++++=place
the ^ati++++=the
bottleneck ^nn+++??+=bottleneck
at ^rb++++=at
a ^at++++=a
much ^ap++++=much
earlier ^jjr+atrb+++=earlier
date ^nn++++=date
more ^rbr++++=more
in ^in++++=in
agreement ^nn+nom+++=agreement
with ^in++++=with
the ^ati++++=the
Multiregional ^np+nom++??+=Multiregional
model ^nn++++=model
( ^zz++++=(Templeton,
templeton ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002;
; ^zz++++=EXTRAWORD
Thomson ^np++++=Thomson
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Conversely ^rb+cnj+++=Conversely,
, ^zz++++=EXTRAWORD
Thomson ^np++++=Thomson
and ^cc++++=and
Underhill ^np++++=Underhill's
's ^$++++=EXTRAWORD
estimates ^nns+nom+++=estimates
agree ^vb+vpub+++=agree
with ^in++++=with
other ^ap++++=other
genetic ^jj+atrb+++=genetic
evidence ^nn+nom+++=evidence
such ^abl++++=such
as ^ql++++=as
mtdna ^vb+++??+=mtDNA
and ^cc++++=and
Autosomal ^np+nom++??+=Autosomal
Dna ^np+++??+=DNA
( ^zz++++=(Jorde
jorde ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
All ^abn++++=All
this ^dt+dem+++=this
conflicting ^jj+atrb+++=conflicting
evidence ^nn+nom+++=evidence
remains ^nns++++=remains
to ^to++++=to
be ^vbi+vbi+aux++=be
thoroughly ^rb+amp+splt++=thoroughly
reconciled ^vpsv++agls+xvbnx+=reconciled.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
large ^jj+atrb+++=large
body ^nn++++=body
of ^in++++=of
genetic ^jj+atrb+++=genetic
evidence ^nn+nom+++=evidence
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
support ^vbi++++=support
to ^in++++=to
a ^at++++=a
pattern ^nn++++=pattern
akin ^jj++++=akin
to ^in++++=to
the ^ati++++=the
Replacement ^nn+nom+++=Replacement
model ^nn++++=model.
. ^zz++++=EXTRAWORD
New ^jj+atrb+++=NEW
Neandertal ^np+nom++??+=NEANDERTAL
Dna ^np+++??+=DNA
: ^zz++++=:
Some ^dti++++=Some
of ^in++++=of
the ^ati++++=the
problems ^nns++++=problems
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
genetic ^jj+atrb+++=genetic
examination ^nn+nom+++=examination
of ^in++++=of
human ^jj+atrb+++=human
history ^nn++++=history
lie ^nn++++=lie
in ^in++++=in
its ^pp$+it+++=its
inability ^nn+nom+++=inability
to ^to+ncmp+++=to
examine ^vbi++++=examine
Dna ^np+++??+=DNA
from ^in++++=from
the ^ati++++=the
